Site ID,Screening Flag,Parameter Group,Location Group Name,Field Sample ID,Location ID,Sample Date,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Sample Time,Sample Usage Code,Latitude (Decimal),Longitude (Decimal),Filtered,Field Preparation Code,Field Sample Comments,Lab Matrix,COC #,Lab Method,Report Detection Limit
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-319092","Sandia left fork at Asph Plant","06-29-2024","Silver","0.300","ug/L","U","N","W","REG","WT","18:10","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 361","W","N3B-2024-3753","EPA:200.8","1.00"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-318985","Sandia left fork at Asph Plant","07-01-2024","Silver","0.300","ug/L","U","N","W","REG","WT","17:50","INV","35.875414000000","-106.318515900000","Y","F"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts 359","W","N3B-2024-3824","EPA:200.8","1.00"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-319093","Sandia left fork at Asph Plant","07-01-2024","Silver","0.300","ug/L","U","N","W","REG","WT","17:50","INV","35.875414000000","-106.318515900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts 359","W","N3B-2024-3824","EPA:200.8","1.00"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-333888","Sandia left fork at Asph Plant","07-17-2024","Silver","0.300","ug/L","U","N","W","REG","WT","17:30","INV","35.875414000000","-106.318515900000","Y","F"," SAMPLE COLLECTED SAMPLE RETRIEVED 360 counts ","W","N3B-2024-4186","EPA:200.8","1.00"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-318984","Sandia left fork at Asph Plant","06-29-2024","Aluminum","259","ug/L",,"Y","W","REG","WT","18:10","INV","35.875414000000","-106.318515900000","Y","F"," Counts: 361","W","N3B-2024-3753","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-319381","Sandia left fork at Asph Plant","06-27-2024","Aluminum","726","ug/L","N","Y","W","REG","WT","16:18","INV","35.875414000000","-106.318515900000","N","F10u"," Counts: 369","W","N3B-2024-3723","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-333889","Sandia left fork at Asph Plant","07-17-2024","Silver","0.300","ug/L","U","N","W","REG","WT","17:30","INV","35.875414000000","-106.318515900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED 360 counts ","W","N3B-2024-4186","EPA:200.8","1.00"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-338742","Sandia left fork at Asph Plant","09-05-2024","Silver","0.300","ug/L","U","N","W","REG","WT","14:40","INV","35.875414000000","-106.318515900000","Y","F",,"W","N3B-2024-4886","EPA:200.8","1.00"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-338743","Sandia left fork at Asph Plant","09-05-2024","Silver","0.300","ug/L","U","N","W","REG","WT","14:40","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-4886","EPA:200.8","1.00"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-319057","Sandia left fork at Asph Plant","06-27-2024","Aluminum","3020","ug/L","N","Y","W","REG","WT","16:18","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 369","W","N3B-2024-3723","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-318949","Sandia left fork at Asph Plant","06-27-2024","Aluminum","243","ug/L","N","Y","W","REG","WT","16:18","INV","35.875414000000","-106.318515900000","Y","F"," Counts: 369","W","N3B-2024-3723","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-319380","Sandia left fork at Asph Plant","06-21-2024","Aluminum","664","ug/L",,"Y","W","REG","WT","19:24","INV","35.875414000000","-106.318515900000","N","F10u",,"W","N3B-2024-3656","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-319056","Sandia left fork at Asph Plant","06-21-2024","Aluminum","2130","ug/L",,"Y","W","REG","WT","19:24","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3656","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-318948","Sandia left fork at Asph Plant","06-21-2024","Aluminum","419","ug/L",,"Y","W","REG","WT","19:24","INV","35.875414000000","-106.318515900000","Y","F",,"W","N3B-2024-3656","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-319344","Sandia left fork at Asph Plant","06-09-2024","Aluminum","764","ug/L",,"Y","W","REG","WT","15:59","INV","35.875414000000","-106.318515900000","N","F10u",,"W","N3B-2024-3352","EPA:200.8","50.0"
